Date,Soil_Temperature (°C),Soil_Moisture (%),Air_Temperature (°C),Air_Humidity (%),Paddy_Growth_Stage,Recommended_Fertilizer,Quantity_kg_per_acre,Purpose,Sustainability_Note,Predicted_Yield_ton_per_ha,Cost_LKR_per_ha
2025-02-10,24.0,48.7,27.4,71.1,Seedling,Calcium Nitrate,18.4,Calcium and nitrate supply for strong stems,Avoid chemical overuse; combine with compost.,9.39,3680.0
2025-10-27,29.7,35.0,32.8,77.7,Flowering,MOP,22.2,Potassium for stem and disease resistance,Maintain irrigation schedule to avoid fertilizer runoff.,9.37,2886.0
2025-02-12,24.2,50.8,34.2,67.6,Tillering,Compost Tea,19.6,Enhances microbial activity,Ensure soil testing before application.,9.43,1568.0
2025-01-06,24.4,71.9,32.2,65.8,Seedling,Magnesium Sulphate,13.4,Magnesium for chlorophyll synthesis,Use split application to reduce leaching.,10.06,2412.0
2025-08-27,27.3,52.2,33.8,61.3,Panicle Initiation,Seaweed Extract,9.7,Growth stimulant and micronutrients,Prefer organic alternatives where possible.,9.4,2425.0
2025-09-20,22.8,34.1,28.0,63.4,Seedling,Magnesium Sulphate,16.1,Magnesium for chlorophyll synthesis,Maintain irrigation schedule to avoid fertilizer runoff.,8.29,2898.0
2025-03-23,33.7,71.8,29.4,63.9,Flowering,Boron,5.5,Micronutrient for flower formation,Use split application to reduce leaching.,10.38,2750.0
2025-01-08,30.4,73.8,26.9,84.7,Tillering,Biochar,27.2,Improves soil fertility and carbon retention,Maintain irrigation schedule to avoid fertilizer runoff.,11.01,2720.0
2025-02-04,22.5,28.8,29.4,82.2,Tillering,Organic Compost,33.3,Improves soil structure and moisture retention,Maintain irrigation schedule to avoid fertilizer runoff.,9.02,1665.0
2025-01-05,26.2,49.1,33.8,70.1,Tillering,MOP,18.5,Potassium for stem and disease resistance,Use split application to reduce leaching.,9.48,2405.0
2025-10-12,24.8,63.2,27.7,79.7,Panicle Initiation,Seaweed Extract,11.0,Growth stimulant and micronutrients,Use split application to reduce leaching.,10.03,2750.0
2025-07-31,33.0,61.4,36.0,76.7,Harvest,Organic Compost,16.8,Improves soil structure and moisture retention,Maintain irrigation schedule to avoid fertilizer runoff.,10.66,840.0
2025-10-19,32.5,42.6,26.2,71.4,Flowering,Iron Chelate,9.1,Iron supply to prevent chlorosis,Ensure soil testing before application.,9.42,4095.0
2025-01-15,32.1,56.2,33.4,76.1,Tillering,Urea,39.6,Nitrogen boost for vegetative growth,Use split application to reduce leaching.,10.63,4752.0
2025-05-22,25.4,47.4,30.3,88.0,Flowering,MOP,22.3,Potassium for stem and disease resistance,Ensure soil testing before application.,9.85,2899.0
2025-09-28,33.8,39.2,31.6,90.3,Tillering,Compost Tea,18.6,Enhances microbial activity,Prefer organic alternatives where possible.,9.83,1488.0
2025-08-23,24.9,26.5,32.3,70.9,Flowering,Iron Chelate,7.3,Iron supply to prevent chlorosis,Use split application to reduce leaching.,8.53,3285.0
